Mixing_rate_rpm,Chitosan_TPP_Ratio_v_v,Chitosan_Concentration_mg_ml,TPP_Concentration_mg_ml,Particle_Diameter_nm
250,1,0.25,0.25,452.478
250,1,0.25,0.5,461.2884
250,1,0.25,0.75,489.4832
250,1,0.25,1,468.3188
250,1,0.25,1.25,494.8308
250,1,0.25,1.5,453.3569
250,1,0.25,2,457.0593
250,1,0.25,2.5,449.8473
250,1,0.25,3,453.1743
250,1,0.25,3.5,468.257
250,1,0.25,4,468.1273
250,1,0.25,4.5,459.5141
250,1,0.25,5,493.1442
250,1,0.5,0.25,470.4768
250,1,0.5,0.5,469.2549
250,1,0.5,0.75,456.715
250,1,0.5,1,486.2563
250,1,0.5,1.25,466.7377
250,1,0.5,1.5,458.9104
250,1,0.5,2,453.2404
250,1,0.5,2.5,459.2384
250,1,0.5,3,462.7523
250,1,0.5,3.5,454.6717
250,1,0.5,4,446.7278
250,1,0.5,4.5,483.6938
250,1,0.5,5,456.58
250,1,0.75,0.25,443.7814
250,1,0.75,0.5,461.1516
250,1,0.75,0.75,459.1347
250,1,0.75,1,466.7492
250,1,0.75,1.25,499.8273
250,1,0.75,1.5,444.8529
250,1,0.75,2,503.3932
250,1,0.75,2.5,515.8766
250,1,0.75,3,451.5217
250,1,0.75,3.5,437.8163
250,1,0.75,4,461.3658
250,1,0.75,4.5,433.9157
250,1,0.75,5,490.7128
250,1,1,0.25,519.526
250,1,1,0.5,464.5703
250,1,1,0.75,469.8071
250,1,1,1,621.5821
250,1,1,1.25,462.4369
250,1,1,1.5,459.0939
250,1,1,2,511.2889
250,1,1,2.5,497.1192
250,1,1,3,495.9865
250,1,1,3.5,468.0898
250,1,1,4,451.8
250,1,1,4.5,471.2396
250,1,1,5,470.9449
250,1,1.25,0.25,488.0413
250,1,1.25,0.5,467.8408
250,1,1.25,0.75,512.1375
250,1,1.25,1,481.095
250,1,1.25,1.25,479.4767
250,1,1.25,1.5,483.7734
250,1,1.25,2,496.8173
250,1,1.25,2.5,463.7623
250,1,1.25,3,455.6595
250,1,1.25,3.5,472.7082
250,1,1.25,4,465.8645
250,1,1.25,4.5,469.0844
250,1,1.25,5,455.3415
250,1,1.5,0.25,0
250,1,1.5,0.5,459.6994
250,1,1.5,0.75,455.6716
250,1,1.5,1,481.8583
250,1,1.5,1.25,514.5841
250,1,1.5,1.5,486.4597
250,1,1.5,2,458.7443
250,1,1.5,2.5,473.0162
250,1,1.5,3,460.3645
250,1,1.5,3.5,481.9458
250,1,1.5,4,464.8285
250,1,1.5,4.5,471.6226
250,1,1.5,5,484.5448
250,1,2,0.25,448.7321
250,1,2,0.5,463.3237
250,1,2,0.75,542.267
250,1,2,1,506.1662
250,1,2,1.25,520.942
250,1,2,1.5,558.6803
250,1,2,2,502.7381
250,1,2,2.5,507.2696
250,1,2,3,534.0533
250,1,2,3.5,564.6151
250,1,2,4,484.6243
250,1,2,4.5,467.8026
250,1,2,5,501.8981
250,1,2.5,0.25,495.8298
250,1,2.5,0.5,527.3778
250,1,2.5,0.75,483.4157
250,1,2.5,1,469.2163
250,1,2.5,1.25,500.3255
250,1,2.5,1.5,518.2091
250,1,2.5,2,483.9848
250,1,2.5,2.5,533.5561
250,1,2.5,3,510.4097
250,1,2.5,3.5,540.6641
250,1,2.5,4,530.9502
250,1,2.5,4.5,481.9803
250,1,2.5,5,479.8248
250,1,3,0.25,523.9824
250,1,3,0.5,483.7849
250,1,3,0.75,614.9744
250,1,3,1,493.447
250,1,3,1.25,516.3165
250,1,3,1.5,495.3059
250,1,3,2,501.7903
250,1,3,2.5,531.1473
250,1,3,3,503.3106
250,1,3,3.5,596.8207
250,1,3,4,518.6318
250,1,3,4.5,542.0554
250,1,3,5,509.2883
250,1,3.5,0.25,519.075
250,1,3.5,0.5,513.5872
250,1,3.5,0.75,510.0383
250,1,3.5,1,543.0138
250,1,3.5,1.25,527.7557
250,1,3.5,1.5,511.0132
250,1,3.5,2,539.5625
250,1,3.5,2.5,503.7152
250,1,3.5,3,537.3037
250,1,3.5,3.5,531.2138
250,1,3.5,4,559.0811
250,1,3.5,4.5,528.4585
250,1,3.5,5,540.4882
250,1,4,0.25,536.3161
250,1,4,0.5,562.0536
250,1,4,0.75,551.0793
250,1,4,1,534.3861
250,1,4,1.25,637.0602
250,1,4,1.5,684.3411
250,1,4,2,660.1377
250,1,4,2.5,597.8803
250,1,4,3,627.358
250,1,4,3.5,593.183
250,1,4,4,559.8617
250,1,4,4.5,538.8374
250,1,4,5,560.0967
250,1,4.5,0.25,539.0846
250,1,4.5,0.5,513.3203
250,1,4.5,0.75,532.2966
250,1,4.5,1,559.0973
250,1,4.5,1.25,524.754
250,1,4.5,1.5,487.6888
250,1,4.5,2,525.9824
250,1,4.5,2.5,540.7451
250,1,4.5,3,469.8131
250,1,4.5,3.5,507.8837
250,1,4.5,4,547.3441
250,1,4.5,4.5,539.7794
250,1,4.5,5,501.9689
250,1,5,0.25,535.2134
250,1,5,0.5,524.9825
250,1,5,0.75,474.3312
250,1,5,1,484.1809
250,1,5,1.25,535.7237
250,1,5,1.5,531.2087
250,1,5,2,629.4175
250,1,5,2.5,626.0146
250,1,5,3,630.7209
250,1,5,3.5,555.1675
250,1,5,4,594.7618
250,1,5,4.5,644.7417
250,1,5,5,674.6076
250,1.5,0.25,0.25,393.593
250,1.5,0.25,0.5,393.4545
250,1.5,0.25,0.75,400.0827
250,1.5,0.25,1,390.3822
250,1.5,0.25,1.25,382.5232
250,1.5,0.25,1.5,405.3301
250,1.5,0.25,2,391.6472
250,1.5,0.25,2.5,381.8213
250,1.5,0.25,3,395.3589
250,1.5,0.25,3.5,379.2407
250,1.5,0.25,4,396.3946
250,1.5,0.25,4.5,419.8226
250,1.5,0.25,5,396.2532
250,1.5,0.5,0.25,399.2463
250,1.5,0.5,0.5,390.5271
250,1.5,0.5,0.75,395.1463
250,1.5,0.5,1,399.741
250,1.5,0.5,1.25,401.4978
250,1.5,0.5,1.5,400.2119
250,1.5,0.5,2,399.2329
250,1.5,0.5,2.5,404.6243
250,1.5,0.5,3,401.0746
250,1.5,0.5,3.5,395.4855
250,1.5,0.5,4,381.5698
250,1.5,0.5,4.5,375.0612
250,1.5,0.5,5,408.1486
250,1.5,0.75,0.25,395.9099
250,1.5,0.75,0.5,386.2645
250,1.5,0.75,0.75,395.6645
250,1.5,0.75,1,378.9425
250,1.5,0.75,1.25,463.3936
250,1.5,0.75,1.5,413.7807
250,1.5,0.75,2,395.1402
250,1.5,0.75,2.5,391.3118
250,1.5,0.75,3,378.6065
250,1.5,0.75,3.5,379.2589
250,1.5,0.75,4,390.011
250,1.5,0.75,4.5,380.8931
250,1.5,0.75,5,322.394
250,1.5,1,0.25,396.1628
250,1.5,1,0.5,392.2311
250,1.5,1,0.75,374.2313
250,1.5,1,1,410.015
250,1.5,1,1.25,393.1667
250,1.5,1,1.5,383.8877
250,1.5,1,2,400.9984
250,1.5,1,2.5,385.0974
250,1.5,1,3,405.3235
250,1.5,1,3.5,397.983
250,1.5,1,4,392.0796
250,1.5,1,4.5,403.5469
250,1.5,1,5,397.75
250,1.5,1.25,0.25,489.2367
250,1.5,1.25,0.5,483.7134
250,1.5,1.25,0.75,445.2276
250,1.5,1.25,1,548.6706
250,1.5,1.25,1.25,443.7112
250,1.5,1.25,1.5,457.7805
250,1.5,1.25,2,458.0644
250,1.5,1.25,2.5,445.0451
250,1.5,1.25,3,490.311
250,1.5,1.25,3.5,463.1329
250,1.5,1.25,4,450.2039
250,1.5,1.25,4.5,452.4442
250,1.5,1.25,5,467.3529
250,1.5,1.5,0.25,450.5956
250,1.5,1.5,0.5,480.5032
250,1.5,1.5,0.75,444.817
250,1.5,1.5,1,466.2324
250,1.5,1.5,1.25,452.3404
250,1.5,1.5,1.5,463.6254
250,1.5,1.5,2,414.9216
250,1.5,1.5,2.5,449.9684
250,1.5,1.5,3,446.5714
250,1.5,1.5,3.5,458.6765
250,1.5,1.5,4,430.1789
250,1.5,1.5,4.5,456.5726
250,1.5,1.5,5,491.6157
250,1.5,2,0.25,461.9104
250,1.5,2,0.5,531.1324
250,1.5,2,0.75,464.3897
250,1.5,2,1,501.9095
250,1.5,2,1.25,442.4918
250,1.5,2,1.5,464.9698
250,1.5,2,2,459.8706
250,1.5,2,2.5,454.2026
250,1.5,2,3,637.8114
250,1.5,2,3.5,456.6834
250,1.5,2,4,570.5422
250,1.5,2,4.5,486.1616
250,1.5,2,5,453.8591
250,1.5,2.5,0.25,514.7486
250,1.5,2.5,0.5,486.2044
250,1.5,2.5,0.75,501.1576
250,1.5,2.5,1,508.2755
250,1.5,2.5,1.25,498.0864
250,1.5,2.5,1.5,459.6009
250,1.5,2.5,2,547.2942
250,1.5,2.5,2.5,505.5492
250,1.5,2.5,3,525.5889
250,1.5,2.5,3.5,485.1843
250,1.5,2.5,4,488.603
250,1.5,2.5,4.5,479.9724
250,1.5,2.5,5,500.8628
250,1.5,3,0.25,566.1957
250,1.5,3,0.5,488.499
250,1.5,3,0.75,498.4622
250,1.5,3,1,477.0345
250,1.5,3,1.25,586.7896
250,1.5,3,1.5,475.8036
250,1.5,3,2,444.4798
250,1.5,3,2.5,508.2191
250,1.5,3,3,586.1656
250,1.5,3,3.5,507.1371
250,1.5,3,4,477.2676
250,1.5,3,4.5,461.4499
250,1.5,3,5,495.855
250,1.5,3.5,0.25,590.6765
250,1.5,3.5,0.5,632.4991
250,1.5,3.5,0.75,596.7928
250,1.5,3.5,1,626.9663
250,1.5,3.5,1.25,582.9169
250,1.5,3.5,1.5,571.9707
250,1.5,3.5,2,654.8449
250,1.5,3.5,2.5,604.7684
250,1.5,3.5,3,529.9156
250,1.5,3.5,3.5,709.7942
250,1.5,3.5,4,557.6508
250,1.5,3.5,4.5,553.1044
250,1.5,3.5,5,637.7036
250,1.5,4,0.25,602.9868
250,1.5,4,0.5,594.576
250,1.5,4,0.75,587.6709
250,1.5,4,1,540.4071
250,1.5,4,1.25,575.7526
250,1.5,4,1.5,570.0397
250,1.5,4,2,540.0332
250,1.5,4,2.5,588.8296
250,1.5,4,3,581.4895
250,1.5,4,3.5,587.6658
250,1.5,4,4,561.5006
250,1.5,4,4.5,577.459
250,1.5,4,5,583.7847
250,1.5,4.5,0.25,644.5527
250,1.5,4.5,0.5,580.6768
250,1.5,4.5,0.75,636.5678
250,1.5,4.5,1,599.986
250,1.5,4.5,1.25,628.1649
250,1.5,4.5,1.5,569.979
250,1.5,4.5,2,622.3981
250,1.5,4.5,2.5,593.8148
250,1.5,4.5,3,627.3384
250,1.5,4.5,3.5,634.8302
250,1.5,4.5,4,612.4819
250,1.5,4.5,4.5,616.1861
250,1.5,4.5,5,568.3809
250,1.5,5,0.25,643.8008
250,1.5,5,0.5,664.5541
250,1.5,5,0.75,577.6729
250,1.5,5,1,632.6017
250,1.5,5,1.25,601.4896
250,1.5,5,1.5,610.306
250,1.5,5,2,614.6491
250,1.5,5,2.5,592.6787
250,1.5,5,3,596.9984
250,1.5,5,3.5,672.6801
250,1.5,5,4,639.2547
250,1.5,5,4.5,608.2848
250,1.5,5,5,608.7167
250,2,0.25,0.25,471.6576
250,2,0.25,0.5,577.4823
250,2,0.25,0.75,462.3911
250,2,0.25,1,484.5795
250,2,0.25,1.25,500.0991
250,2,0.25,1.5,495.3225
250,2,0.25,2,458.8872
250,2,0.25,2.5,459.721
250,2,0.25,3,447.6768
250,2,0.25,3.5,457.4033
250,2,0.25,4,467.2585
250,2,0.25,4.5,455.9575
250,2,0.25,5,452.0154
250,2,0.5,0.25,459.1389
250,2,0.5,0.5,456.8316
250,2,0.5,0.75,436.6656
250,2,0.5,1,475.394
250,2,0.5,1.25,449.2543
250,2,0.5,1.5,464.528
250,2,0.5,2,450.689
250,2,0.5,2.5,475.1524
250,2,0.5,3,461.1925
250,2,0.5,3.5,454.432
250,2,0.5,4,462.4879
250,2,0.5,4.5,463.036
250,2,0.5,5,437.0222
250,2,0.75,0.25,451.1774
250,2,0.75,0.5,461.84
250,2,0.75,0.75,454.3381
250,2,0.75,1,454.2241
250,2,0.75,1.25,544.4276
250,2,0.75,1.5,457.674
250,2,0.75,2,460.2075
250,2,0.75,2.5,450.2913
250,2,0.75,3,513.5574
250,2,0.75,3.5,459.5025
250,2,0.75,4,479.5152
250,2,0.75,4.5,472.629
250,2,0.75,5,455.8624
250,2,1,0.25,475.8406
250,2,1,0.5,521.9333
250,2,1,0.75,607.1383
250,2,1,1,0
250,2,1,1.25,496.0634
250,2,1,1.5,461.985
250,2,1,2,472.6983
250,2,1,2.5,469.0055
250,2,1,3,468.34
250,2,1,3.5,468.34
250,2,1,4,481.2001
250,2,1,4.5,478.7555
250,2,1,5,478.0855
250,2,1.25,0.25,479.9307
250,2,1.25,0.5,459.7171
250,2,1.25,0.75,470.5272
250,2,1.25,1,453.4786
250,2,1.25,1.25,467.2028
250,2,1.25,1.5,465.8844
250,2,1.25,2,472.7761
250,2,1.25,2.5,442.9362
250,2,1.25,3,440.4068
250,2,1.25,3.5,447.2019
250,2,1.25,4,562.1048
250,2,1.25,4.5,468.4317
250,2,1.25,5,461.1308
250,2,1.5,0.25,439.3711
250,2,1.5,0.5,458.0583
250,2,1.5,0.75,528.808
250,2,1.5,1,453.9384
250,2,1.5,1.25,459.8443
250,2,1.5,1.5,469.2689
250,2,1.5,2,515.7444
250,2,1.5,2.5,490.0276
250,2,1.5,3,523.6331
250,2,1.5,3.5,499.111
250,2,1.5,4,491.0085
250,2,1.5,4.5,481.3111
250,2,1.5,5,495.1672
250,2,2,0.25,510.0582
250,2,2,0.5,457.2282
250,2,2,0.75,481.1543
250,2,2,1,474.4337
250,2,2,1.25,469.8654
250,2,2,1.5,504.5416
250,2,2,2,513.0409
250,2,2,2.5,492.5775
250,2,2,3,513.8276
250,2,2,3.5,457.9028
250,2,2,4,505.4062
250,2,2,4.5,509.4325
250,2,2,5,497.0206
250,2,2.5,0.25,494.2832
250,2,2.5,0.5,0
250,2,2.5,0.75,488.8506
250,2,2.5,1,469.9843
250,2,2.5,1.25,463.5579
250,2,2.5,1.5,473.3847
250,2,2.5,2,481.9535
250,2,2.5,2.5,513.5981
250,2,2.5,3,491.3034
250,2,2.5,3.5,490.4572
250,2,2.5,4,449.4178
250,2,2.5,4.5,486.5441
250,2,2.5,5,492.2723
250,2,3,0.25,500.0712
250,2,3,0.5,496.3863
250,2,3,0.75,465.7288
250,2,3,1,528.5018
250,2,3,1.25,472.1671
250,2,3,1.5,570.1433
250,2,3,2,583.2864
250,2,3,2.5,507.8642
250,2,3,3,481.0904
250,2,3,3.5,525.2185
250,2,3,4,486.6059
250,2,3,4.5,508.5411
250,2,3,5,490.9477
250,2,3.5,0.25,552.8469
250,2,3.5,0.5,519.847
250,2,3.5,0.75,507.8792
250,2,3.5,1,520.8187
250,2,3.5,1.25,505.951
250,2,3.5,1.5,541.3778
250,2,3.5,2,526.103
250,2,3.5,2.5,526.2643
250,2,3.5,3,534.7598
250,2,3.5,3.5,525.6964
250,2,3.5,4,512.988
250,2,3.5,4.5,490.1248
250,2,3.5,5,543.655
250,2,4,0.25,507.2706
250,2,4,0.5,553.221
250,2,4,0.75,521.3296
250,2,4,1,605.9246
250,2,4,1.25,582.0764
250,2,4,1.5,535.1331
250,2,4,2,524.5023
250,2,4,2.5,575.4259
250,2,4,3,636.8118
250,2,4,3.5,518.5073
250,2,4,4,520.0449
250,2,4,4.5,527.7642
250,2,4,5,555.1593
250,2,4.5,0.25,555.1242
250,2,4.5,0.5,531.1372
250,2,4.5,0.75,504.192
250,2,4.5,1,544.1121
250,2,4.5,1.25,527.0815
250,2,4.5,1.5,518.8565
250,2,4.5,2,529.5191
250,2,4.5,2.5,551.102
250,2,4.5,3,515.1268
250,2,4.5,3.5,522.9433
250,2,4.5,4,509.5542
250,2,4.5,4.5,531.4545
250,2,4.5,5,503.6147
250,2,5,0.25,517.5561
250,2,5,0.5,502.988
250,2,5,0.75,536.9731
250,2,5,1,568.7926
250,2,5,1.25,548.8468
250,2,5,1.5,492.4629
250,2,5,2,537.6235
250,2,5,2.5,529.0581
250,2,5,3,514.0947
250,2,5,3.5,538.3977
250,2,5,4,556.5137
250,2,5,4.5,491.4577
250,2,5,5,544.4219
750,1,0.25,0.25,361.5853
750,1,0.25,0.5,359.7526
750,1,0.25,0.75,353.4781
750,1,0.25,1,358.0194
750,1,0.25,1.25,362.31
750,1,0.25,1.5,354.203
750,1,0.25,2,360.9452
750,1,0.25,2.5,352.5465
750,1,0.25,3,363.2711
750,1,0.25,3.5,362.8318
750,1,0.25,4,362.5536
750,1,0.25,4.5,348.7627
750,1,0.25,5,355.2322
750,1,0.5,0.25,356.3999
750,1,0.5,0.5,363.9065
750,1,0.5,0.75,358.8988
750,1,0.5,1,359.7023
750,1,0.5,1.25,351.9957
750,1,0.5,1.5,365.5805
750,1,0.5,2,362.888
750,1,0.5,2.5,358.2928
750,1,0.5,3,360.3989
750,1,0.5,3.5,356.3807
750,1,0.5,4,351.9436
750,1,0.5,4.5,349.6202
750,1,0.5,5,355.2412
750,1,0.75,0.25,351.6472
750,1,0.75,0.5,363.5789
750,1,0.75,0.75,364.3578
750,1,0.75,1,361.6053
750,1,0.75,1.25,362.1618
750,1,0.75,1.5,349.5084
750,1,0.75,2,359.4054
750,1,0.75,2.5,365.4382
750,1,0.75,3,351.4753
750,1,0.75,3.5,356.9073
750,1,0.75,4,364.5965
750,1,0.75,4.5,364.6522
750,1,0.75,5,344.1338
750,1,1,0.25,328.8773
750,1,1,0.5,327.9437
750,1,1,0.75,330.8718
750,1,1,1,326.7308
750,1,1,1.25,327.0688
750,1,1,1.5,324.0764
750,1,1,2,331.6915
750,1,1,2.5,329.7361
750,1,1,3,332.4539
750,1,1,3.5,333.7288
750,1,1,4,329.9113
750,1,1,4.5,357.8372
750,1,1,5,366.0997
750,1,1.25,0.25,364.3574
750,1,1.25,0.5,353.7863
750,1,1.25,0.75,359.4461
750,1,1.25,1,356.99
750,1,1.25,1.25,338.0022
750,1,1.25,1.5,326.0154
750,1,1.25,2,360.8226
750,1,1.25,2.5,350.7902
750,1,1.25,3,363.8509
750,1,1.25,3.5,344.146
750,1,1.25,4,345.5293
750,1,1.25,4.5,369.2422
750,1,1.25,5,354.7839
750,1,1.5,0.25,366.0666
750,1,1.5,0.5,350.3595
750,1,1.5,0.75,365.7156
750,1,1.5,1,355.822
750,1,1.5,1.25,363.5094
750,1,1.5,1.5,362.1381
750,1,1.5,2,352.8937
750,1,1.5,2.5,343.0451
750,1,1.5,3,348.9179
750,1,1.5,3.5,355.096
750,1,1.5,4,360.3131
750,1,1.5,4.5,352.1089
750,1,1.5,5,355.9469
750,1,2,0.25,349.569
750,1,2,0.5,359.1444
750,1,2,0.75,370.7447
750,1,2,1,368.1499
750,1,2,1.25,362.305
750,1,2,1.5,362.4431
750,1,2,2,349.2319
750,1,2,2.5,350.8677
750,1,2,3,360.209
750,1,2,3.5,342.685
750,1,2,4,358.6284
750,1,2,4.5,367.1936
750,1,2,5,347.588
750,1,2.5,0.25,490.9857
750,1,2.5,0.5,488.7504
750,1,2.5,0.75,475.5986
750,1,2.5,1,489.799
750,1,2.5,1.25,517.6064
750,1,2.5,1.5,484.0824
750,1,2.5,2,472.4196
750,1,2.5,2.5,476.1952
750,1,2.5,3,523.0247
750,1,2.5,3.5,465.1427
750,1,2.5,4,490.6455
750,1,2.5,4.5,490.3541
750,1,2.5,5,515.2627
750,1,3,0.25,489.2441
750,1,3,0.5,487.8003
750,1,3,0.75,498.747
750,1,3,1,461.5007
750,1,3,1.25,496.0541
750,1,3,1.5,508.9698
750,1,3,2,488.3809
750,1,3,2.5,475.9163
750,1,3,3,476.3872
750,1,3,3.5,506.3887
750,1,3,4,469.4615
750,1,3,4.5,541.0899
750,1,3,5,495.8495
750,1,3.5,0.25,464.8579
750,1,3.5,0.5,474.9697
750,1,3.5,0.75,481.7826
750,1,3.5,1,471.9307
750,1,3.5,1.25,502.772
750,1,3.5,1.5,478.9809
750,1,3.5,2,474.815
750,1,3.5,2.5,489.102
750,1,3.5,3,498.7221
750,1,3.5,3.5,483.6536
750,1,3.5,4,481.8952
750,1,3.5,4.5,464.5871
750,1,3.5,5,461.1407
750,1,4,0.25,484.133
750,1,4,0.5,481.4861
750,1,4,0.75,476.1289
750,1,4,1,468.6608
750,1,4,1.25,490.4338
750,1,4,1.5,481.2765
750,1,4,2,509.0894
750,1,4,2.5,492.4743
750,1,4,3,488.0415
750,1,4,3.5,479.7618
750,1,4,4,464.5746
750,1,4,4.5,488.6306
750,1,4,5,487.7183
750,1,4.5,0.25,594.0389
750,1,4.5,0.5,690.5042
750,1,4.5,0.75,626.9944
750,1,4.5,1,624.3768
750,1,4.5,1.25,629.0629
750,1,4.5,1.5,639.9972
750,1,4.5,2,605.485
750,1,4.5,2.5,638.6273
750,1,4.5,3,645.6137
750,1,4.5,3.5,562.3402
750,1,4.5,4,625.8627
750,1,4.5,4.5,611.543
750,1,4.5,5,633.2057
750,1,5,0.25,577.8381
750,1,5,0.5,541.6744
750,1,5,0.75,521.9747
750,1,5,1,516.2144
750,1,5,1.25,573.7633
750,1,5,1.5,652.7131
750,1,5,2,498.3573
750,1,5,2.5,408.187
750,1,5,3,595.6144
750,1,5,3.5,588.7137
750,1,5,4,366.7313
750,1,5,4.5,539.0606
750,1,5,5,589.7662
750,1.5,0.25,0.25,483.365
750,1.5,0.25,0.5,529.0501
750,1.5,0.25,0.75,543.372
750,1.5,0.25,1,525.2887
750,1.5,0.25,1.25,611.6931
750,1.5,0.25,1.5,498.8028
750,1.5,0.25,2,526.6816
750,1.5,0.25,2.5,505.4773
750,1.5,0.25,3,616.3384
750,1.5,0.25,3.5,602.6891
750,1.5,0.25,4,580.0349
750,1.5,0.25,4.5,558.5215
750,1.5,0.25,5,569.4371
750,1.5,0.5,0.25,526.1086
750,1.5,0.5,0.5,563.1996
750,1.5,0.5,0.75,543.2047
750,1.5,0.5,1,623.6107
750,1.5,0.5,1.25,557.2806
750,1.5,0.5,1.5,515.7244
750,1.5,0.5,2,517.6035
750,1.5,0.5,2.5,525.6637
750,1.5,0.5,3,522.1267
750,1.5,0.5,3.5,544.0544
750,1.5,0.5,4,539.6653
750,1.5,0.5,4.5,511.7912
750,1.5,0.5,5,524.211
750,1.5,0.75,0.25,568.1143
750,1.5,0.75,0.5,548.7071
750,1.5,0.75,0.75,524.8078
750,1.5,0.75,1,550.0429
750,1.5,0.75,1.25,605.7943
750,1.5,0.75,1.5,618.1595
750,1.5,0.75,2,548.4523
750,1.5,0.75,2.5,575.2776
750,1.5,0.75,3,529.7336
750,1.5,0.75,3.5,613.1707
750,1.5,0.75,4,540.2234
750,1.5,0.75,4.5,533.5755
750,1.5,0.75,5,547.9453
750,1.5,1,0.25,540.7164
750,1.5,1,0.5,518.6084
750,1.5,1,0.75,549.0722
750,1.5,1,1,538.3928
750,1.5,1,1.25,526.6846
750,1.5,1,1.5,566.5947
750,1.5,1,2,534.5965
750,1.5,1,2.5,484.8175
750,1.5,1,3,519.5127
750,1.5,1,3.5,508.0517
750,1.5,1,4,497.9703
750,1.5,1,4.5,517.5447
750,1.5,1,5,588.6239
750,1.5,1.25,0.25,535.8803
750,1.5,1.25,0.5,535.9515
750,1.5,1.25,0.75,577.3626
750,1.5,1.25,1,551.9181
750,1.5,1.25,1.25,510.6581
750,1.5,1.25,1.5,510.5434
750,1.5,1.25,2,588.5866
750,1.5,1.25,2.5,614.9629
750,1.5,1.25,3,545.9383
750,1.5,1.25,3.5,537.7142
750,1.5,1.25,4,545.9083
750,1.5,1.25,4.5,521.0617
750,1.5,1.25,5,592.3251
750,1.5,1.5,0.25,583.422
750,1.5,1.5,0.5,520.6946
750,1.5,1.5,0.75,565.6875
750,1.5,1.5,1,518.3457
750,1.5,1.5,1.25,576.5627
750,1.5,1.5,1.5,562.8496
750,1.5,1.5,2,532.8936
750,1.5,1.5,2.5,527.0351
750,1.5,1.5,3,550.0908
750,1.5,1.5,3.5,570.9423
750,1.5,1.5,4,569.7468
750,1.5,1.5,4.5,522.3411
750,1.5,1.5,5,569.2695
750,1.5,2,0.25,582.9381
750,1.5,2,0.5,535.2004
