Mixing_rate_rpm,Chitosan_TPP_Ratio_v_v,Chitosan_Concentration_mg_ml,TPP_Concentration_mg_ml,Particle_Diameter_nm
750,1.5,2,0.75,588.6487
750,1.5,2,1,636.1642
750,1.5,2,1.25,603.4774
750,1.5,2,1.5,569.5065
750,1.5,2,2,565.123
750,1.5,2,2.5,594.1351
750,1.5,2,3,591.3061
750,1.5,2,3.5,576.0489
750,1.5,2,4,591.1468
750,1.5,2,4.5,594.4394
750,1.5,2,5,578.7504
750,1.5,2.5,0.25,603.0296
750,1.5,2.5,0.5,599.6414
750,1.5,2.5,0.75,604.1893
750,1.5,2.5,1,621.2456
750,1.5,2.5,1.25,598.2724
750,1.5,2.5,1.5,615.389
750,1.5,2.5,2,569.4864
750,1.5,2.5,2.5,609.6895
750,1.5,2.5,3,613.7992
750,1.5,2.5,3.5,614.9731
750,1.5,2.5,4,594.5627
750,1.5,2.5,4.5,552.1558
750,1.5,2.5,5,572.7468
750,1.5,3,0.25,534.7736
750,1.5,3,0.5,582.2766
750,1.5,3,0.75,560.2491
750,1.5,3,1,580.8817
750,1.5,3,1.25,557.4851
750,1.5,3,1.5,616.4782
750,1.5,3,2,607.671
750,1.5,3,2.5,560.8081
750,1.5,3,3,606.0438
750,1.5,3,3.5,609.1948
750,1.5,3,4,631.5853
750,1.5,3,4.5,611.1033
750,1.5,3,5,602.1933
750,1.5,3.5,0.25,559.3706
750,1.5,3.5,0.5,517.1626
750,1.5,3.5,0.75,545.1833
750,1.5,3.5,1,626.2916
750,1.5,3.5,1.25,554.0531
750,1.5,3.5,1.5,558.7411
750,1.5,3.5,2,578.4817
750,1.5,3.5,2.5,609.593
750,1.5,3.5,3,601.9951
750,1.5,3.5,3.5,604.582
750,1.5,3.5,4,621.7401
750,1.5,3.5,4.5,549.3804
750,1.5,3.5,5,592.8608
750,1.5,4,0.25,583.4201
750,1.5,4,0.5,549.5806
750,1.5,4,0.75,637.6608
750,1.5,4,1,609.2422
750,1.5,4,1.25,617.6422
750,1.5,4,1.5,555.6454
750,1.5,4,2,545.1473
750,1.5,4,2.5,633.6908
750,1.5,4,3,646.7301
750,1.5,4,3.5,563.3329
750,1.5,4,4,611.4127
750,1.5,4,4.5,589.6595
750,1.5,4,5,644.4574
750,1.5,4.5,0.25,663.1193
750,1.5,4.5,0.5,579.8705
750,1.5,4.5,0.75,521.6063
750,1.5,4.5,1,624.4787
750,1.5,4.5,1.25,619.6872
750,1.5,4.5,1.5,616.9723
750,1.5,4.5,2,636.0001
750,1.5,4.5,2.5,628.5834
750,1.5,4.5,3,633.9468
750,1.5,4.5,3.5,589.7163
750,1.5,4.5,4,617.1257
750,1.5,4.5,4.5,555.3435
750,1.5,4.5,5,599.9087
750,1.5,5,0.25,508.923
750,1.5,5,0.5,531.2307
750,1.5,5,0.75,543.3012
750,1.5,5,1,567.6171
750,1.5,5,1.25,521.6048
750,1.5,5,1.5,515.9983
750,1.5,5,2,544.9779
750,1.5,5,2.5,535.2951
750,1.5,5,3,537.4704
750,1.5,5,3.5,517.9208
750,1.5,5,4,548.7463
750,1.5,5,4.5,525.8634
750,1.5,5,5,536.2187
750,2,0.25,0.25,546.0482
750,2,0.25,0.5,539.5453
750,2,0.25,0.75,540.3589
750,2,0.25,1,563.2501
750,2,0.25,1.25,541.5635
750,2,0.25,1.5,553.5564
750,2,0.25,2,633.2305
750,2,0.25,2.5,574.6916
750,2,0.25,3,706.9384
750,2,0.25,3.5,574.4276
750,2,0.25,4,525.7312
750,2,0.25,4.5,594.4272
750,2,0.25,5,539.6735
750,2,0.5,0.25,559.3479
750,2,0.5,0.5,580.1466
750,2,0.5,0.75,531.9485
750,2,0.5,1,529.8464
750,2,0.5,1.25,530.6975
750,2,0.5,1.5,548.6335
750,2,0.5,2,541.8731
750,2,0.5,2.5,627.6465
750,2,0.5,3,544.2231
750,2,0.5,3.5,534.8411
750,2,0.5,4,530.9875
750,2,0.5,4.5,546.2577
750,2,0.5,5,516.4941
750,2,0.75,0.25,532.1965
750,2,0.75,0.5,566.0534
750,2,0.75,0.75,556.3638
750,2,0.75,1,505.5593
750,2,0.75,1.25,553.8347
750,2,0.75,1.5,484.1586
750,2,0.75,2,709.0839
750,2,0.75,2.5,490.0328
750,2,0.75,3,563.5409
750,2,0.75,3.5,484.299
750,2,0.75,4,743.1818
750,2,0.75,4.5,561.4856
750,2,0.75,5,644.0831
750,2,1,0.25,543.511
750,2,1,0.5,531.7232
750,2,1,0.75,550.2624
750,2,1,1,558.8732
750,2,1,1.25,531.3862
750,2,1,1.5,546.6275
750,2,1,2,501.7953
750,2,1,2.5,533.048
750,2,1,3,564.1194
750,2,1,3.5,524.0448
750,2,1,4,540.6159
750,2,1,4.5,592.2088
750,2,1,5,557.8818
750,2,1.25,0.25,557.851
750,2,1.25,0.5,513.0036
750,2,1.25,0.75,521.7106
750,2,1.25,1,547.9031
750,2,1.25,1.25,548.9438
750,2,1.25,1.5,540.3397
750,2,1.25,2,537.3963
750,2,1.25,2.5,513.9182
750,2,1.25,3,478.7196
750,2,1.25,3.5,509.7909
750,2,1.25,4,522.2872
750,2,1.25,4.5,517.72
750,2,1.25,5,589.7371
750,2,1.5,0.25,633.234
750,2,1.5,0.5,527.1127
750,2,1.5,0.75,494.594
750,2,1.5,1,619.1384
750,2,1.5,1.25,514.5409
750,2,1.5,1.5,524.6002
750,2,1.5,2,769.4691
750,2,1.5,2.5,563.4796
750,2,1.5,3,736.3346
750,2,1.5,3.5,542.4646
750,2,1.5,4,653.5759
750,2,1.5,4.5,582.8212
750,2,1.5,5,613.9806
750,2,2,0.25,562.547
750,2,2,0.5,530.3928
750,2,2,0.75,573.6454
750,2,2,1,563.9902
750,2,2,1.25,598.8376
750,2,2,1.5,542.6115
750,2,2,2,615.5326
750,2,2,2.5,547.9725
750,2,2,3,527.4649
750,2,2,3.5,549.3926
750,2,2,4,568.7798
750,2,2,4.5,587.9888
750,2,2,5,530.0962
750,2,2.5,0.25,548.6682
750,2,2.5,0.5,553.1964
750,2,2.5,0.75,549.8838
750,2,2.5,1,541.2839
750,2,2.5,1.25,545.7696
750,2,2.5,1.5,554.382
750,2,2.5,2,553.3619
750,2,2.5,2.5,540.2343
750,2,2.5,3,553.4927
750,2,2.5,3.5,560.5402
750,2,2.5,4,543.8561
750,2,2.5,4.5,520.6216
750,2,2.5,5,522.3639
750,2,3,0.25,535.4658
750,2,3,0.5,542.4053
750,2,3,0.75,533.5517
750,2,3,1,557.6968
750,2,3,1.25,532.0683
750,2,3,1.5,570.1985
750,2,3,2,520.7782
750,2,3,2.5,568.3432
750,2,3,3,546.9655
750,2,3,3.5,541.6249
750,2,3,4,622.7629
750,2,3,4.5,564.9691
750,2,3,5,592.5539
750,2,3.5,0.25,571.7433
750,2,3.5,0.5,598.5391
750,2,3.5,0.75,635.8969
750,2,3.5,1,595.2896
750,2,3.5,1.25,560.3205
750,2,3.5,1.5,548.7355
750,2,3.5,2,565.4747
750,2,3.5,2.5,574.8708
750,2,3.5,3,604.0561
750,2,3.5,3.5,566.8441
750,2,3.5,4,595.8815
750,2,3.5,4.5,562.1094
750,2,3.5,5,574.7471
750,2,4,0.25,527.1768
750,2,4,0.5,637.7517
750,2,4,0.75,624.6063
750,2,4,1,600.0802
750,2,4,1.25,587.2863
750,2,4,1.5,609.3862
750,2,4,2,565.7043
750,2,4,2.5,626.3913
750,2,4,3,573.7402
750,2,4,3.5,586.6474
750,2,4,4,571.0846
750,2,4,4.5,567.5196
750,2,4,5,631.7557
750,2,4.5,0.25,574.9007
750,2,4.5,0.5,500.9056
750,2,4.5,0.75,626.9422
750,2,4.5,1,532.2793
750,2,4.5,1.25,566.9525
750,2,4.5,1.5,571.0136
750,2,4.5,2,607.0259
750,2,4.5,2.5,591.4463
750,2,4.5,3,538.1333
750,2,4.5,3.5,512.1076
750,2,4.5,4,611.449
750,2,4.5,4.5,621.3132
750,2,4.5,5,543.7257
750,2,5,0.25,612.9576
750,2,5,0.5,589.1064
750,2,5,0.75,607.4149
750,2,5,1,552.2215
750,2,5,1.25,557.8915
750,2,5,1.5,600.7959
750,2,5,2,540.4563
750,2,5,2.5,577.5091
750,2,5,3,575.0344
750,2,5,3.5,595.5305
750,2,5,4,524.3395
750,2,5,4.5,609.2276
750,2,5,5,592.7815
500,1,0.25,0.25,542.2836
500,1,0.25,0.5,555.9341
500,1,0.25,0.75,559.9594
500,1,0.25,1,609.2596
500,1,0.25,1.25,577.5868
500,1,0.25,1.5,536.0016
500,1,0.25,2,546.8108
500,1,0.25,2.5,538.4022
500,1,0.25,3,543.4436
500,1,0.25,3.5,532.5314
500,1,0.25,4,591.7283
500,1,0.25,4.5,521.998
500,1,0.25,5,534.4854
500,1,0.5,0.25,544.3541
500,1,0.5,0.5,559.4023
500,1,0.5,0.75,555.3559
500,1,0.5,1,517.6552
500,1,0.5,1.25,526.5475
500,1,0.5,1.5,539.312
500,1,0.5,2,534.2221
500,1,0.5,2.5,536.3018
500,1,0.5,3,554.9275
500,1,0.5,3.5,745.0972
500,1,0.5,4,553.4992
500,1,0.5,4.5,554.7258
500,1,0.5,5,542.6536
500,1,0.75,0.25,570.0733
500,1,0.75,0.5,556.8662
500,1,0.75,0.75,534.7746
500,1,0.75,1,509.0559
500,1,0.75,1.25,517.651
500,1,0.75,1.5,515.5841
500,1,0.75,2,643.6898
500,1,0.75,2.5,526.6668
500,1,0.75,3,527.657
500,1,0.75,3.5,585.8264
500,1,0.75,4,525.1348
500,1,0.75,4.5,519.5504
500,1,0.75,5,592.2567
500,1,1,0.25,530.6675
500,1,1,0.5,565.6275
500,1,1,0.75,557.4187
500,1,1,1,565.3775
500,1,1,1.25,551.1438
500,1,1,1.5,628.2938
500,1,1,2,578.8098
500,1,1,2.5,535.3999
500,1,1,3,565.2971
500,1,1,3.5,554.6608
500,1,1,4,1217.415
500,1,1,4.5,514.5991
500,1,1,5,539.5779
500,1,1.25,0.25,589.9593
500,1,1.25,0.5,550.236
500,1,1.25,0.75,553.6577
500,1,1.25,1,513.3073
500,1,1.25,1.25,522.1472
500,1,1.25,1.5,519.5826
500,1,1.25,2,515.1481
500,1,1.25,2.5,530.7304
500,1,1.25,3,518.0044
500,1,1.25,3.5,553.2981
500,1,1.25,4,575.1763
500,1,1.25,4.5,577.4094
500,1,1.25,5,606.2264
500,1,1.5,0.25,557.5046
500,1,1.5,0.5,587.6218
500,1,1.5,0.75,516.0436
500,1,1.5,1,582.6595
500,1,1.5,1.25,642.6523
500,1,1.5,1.5,557.6632
500,1,1.5,2,581.9038
500,1,1.5,2.5,556.6784
500,1,1.5,3,580.7012
500,1,1.5,3.5,545.2586
500,1,1.5,4,553.5856
500,1,1.5,4.5,612.8235
500,1,1.5,5,544.6588
500,1,2,0.25,746.7189
500,1,2,0.5,582.7175
500,1,2,0.75,566.9805
500,1,2,1,950.7452
500,1,2,1.25,547.8947
500,1,2,1.5,648.6248
500,1,2,2,552.3583
500,1,2,2.5,530.0829
500,1,2,3,538.8131
500,1,2,3.5,531.233
500,1,2,4,613.1287
500,1,2,4.5,592.6059
500,1,2,5,559.5269
500,1,2.5,0.25,559.427
500,1,2.5,0.5,519.7819
500,1,2.5,0.75,553.5103
500,1,2.5,1,555.6555
500,1,2.5,1.25,575.4568
500,1,2.5,1.5,714.6173
500,1,2.5,2,549.2903
500,1,2.5,2.5,665.617
500,1,2.5,3,541.5051
500,1,2.5,3.5,640.7107
500,1,2.5,4,637.9096
500,1,2.5,4.5,658.7522
500,1,2.5,5,774.2788
500,1,3,0.25,791.5114
500,1,3,0.5,551.9873
500,1,3,0.75,635.0658
500,1,3,1,652.6074
500,1,3,1.25,640.1209
500,1,3,1.5,717.2917
500,1,3,2,680.3366
500,1,3,2.5,637.2742
500,1,3,3,684.7734
500,1,3,3.5,597.3807
500,1,3,4,643.5853
500,1,3,4.5,612.3058
500,1,3,5,679.9901
500,1,3.5,0.25,640.6212
500,1,3.5,0.5,557.3845
500,1,3.5,0.75,557.8295
500,1,3.5,1,593.9666
500,1,3.5,1.25,689.7
500,1,3.5,1.5,571.1077
500,1,3.5,2,553.3039
500,1,3.5,2.5,570.0894
500,1,3.5,3,539.3522
500,1,3.5,3.5,538.913
500,1,3.5,4,659.644
500,1,3.5,4.5,704.7142
500,1,3.5,5,522.2876
500,1,4,0.25,554.1655
500,1,4,0.5,543.8598
500,1,4,0.75,533.4705
500,1,4,1,562.0805
500,1,4,1.25,528.4076
500,1,4,1.5,546.8758
500,1,4,2,630.5724
500,1,4,2.5,563.2459
500,1,4,3,562.2843
500,1,4,3.5,544.7321
500,1,4,4,532.1459
500,1,4,4.5,684.0679
500,1,4,5,663.1885
500,1,4.5,0.25,627.6552
500,1,4.5,0.5,531.3217
500,1,4.5,0.75,544.1177
500,1,4.5,1,590.7734
500,1,4.5,1.25,556.9101
500,1,4.5,1.5,628.0053
500,1,4.5,2,629.2692
500,1,4.5,2.5,549.1413
500,1,4.5,3,550.5606
500,1,4.5,3.5,675.3804
500,1,4.5,4,526.5213
500,1,4.5,4.5,591.1009
500,1,4.5,5,581.2046
500,1,5,0.25,818.5529
500,1,5,0.5,554.7832
500,1,5,0.75,561.4901
500,1,5,1,552.9328
500,1,5,1.25,521.1089
500,1,5,1.5,532.7994
500,1,5,2,580.3887
500,1,5,2.5,532.5784
500,1,5,3,536.3399
500,1,5,3.5,577.1399
500,1,5,4,585.1447
500,1,5,4.5,515.2938
500,1,5,5,528.5336
500,1.5,0.25,0.25,385.6958
500,1.5,0.25,0.5,387.801
500,1.5,0.25,0.75,395.1138
500,1.5,0.25,1,374.0483
500,1.5,0.25,1.25,373.8214
500,1.5,0.25,1.5,373.5205
500,1.5,0.25,2,399.1778
500,1.5,0.25,2.5,398.6951
500,1.5,0.25,3,385.3583
500,1.5,0.25,3.5,389.1037
500,1.5,0.25,4,397.8052
500,1.5,0.25,4.5,377.1984
500,1.5,0.25,5,423.5751
500,1.5,0.5,0.25,392.2544
500,1.5,0.5,0.5,388.594
500,1.5,0.5,0.75,386.0444
500,1.5,0.5,1,386.061
500,1.5,0.5,1.25,371.3939
500,1.5,0.5,1.5,422.0545
500,1.5,0.5,2,389.3345
500,1.5,0.5,2.5,425.4673
500,1.5,0.5,3,387.1636
500,1.5,0.5,3.5,396.922
500,1.5,0.5,4,396.3345
500,1.5,0.5,4.5,383.5408
500,1.5,0.5,5,384.2219
500,1.5,0.75,0.25,394.7717
500,1.5,0.75,0.5,377.273
500,1.5,0.75,0.75,372.8584
500,1.5,0.75,1,396.2494
500,1.5,0.75,1.25,373.3444
500,1.5,0.75,1.5,404.2383
500,1.5,0.75,2,385.677
500,1.5,0.75,2.5,398.0813
500,1.5,0.75,3,403.3366
500,1.5,0.75,3.5,397.3215
500,1.5,0.75,4,366.3319
500,1.5,0.75,4.5,385.6796
500,1.5,0.75,5,392.4689
500,1.5,1,0.25,395.6658
500,1.5,1,0.5,384.9037
500,1.5,1,0.75,377.5262
500,1.5,1,1,393.2158
500,1.5,1,1.25,409.0327
500,1.5,1,1.5,394.1708
500,1.5,1,2,388.1523
500,1.5,1,2.5,353.0226
500,1.5,1,3,384.5566
500,1.5,1,3.5,387.355
500,1.5,1,4,366.2039
500,1.5,1,4.5,395.3637
500,1.5,1,5,384.4137
500,1.5,1.25,0.25,395.0845
500,1.5,1.25,0.5,412.757
500,1.5,1.25,0.75,485.599
500,1.5,1.25,1,421.2047
500,1.5,1.25,1.25,419.3432
500,1.5,1.25,1.5,387.3064
500,1.5,1.25,2,419.2683
500,1.5,1.25,2.5,404.2683
500,1.5,1.25,3,447.3894
500,1.5,1.25,3.5,431.0488
500,1.5,1.25,4,424.7886
500,1.5,1.25,4.5,402.8878
500,1.5,1.25,5,436.1567
500,1.5,1.5,0.25,392.8447
500,1.5,1.5,0.5,421.6944
500,1.5,1.5,0.75,415.004
500,1.5,1.5,1,423.6927
500,1.5,1.5,1.25,416.0409
500,1.5,1.5,1.5,423.1918
500,1.5,1.5,2,424.4811
500,1.5,1.5,2.5,426.8788
500,1.5,1.5,3,426.9898
500,1.5,1.5,3.5,428.2179
500,1.5,1.5,4,404.9976
500,1.5,1.5,4.5,422.9791
500,1.5,1.5,5,427.7774
500,1.5,2,0.25,400.6189
500,1.5,2,0.5,412.592
500,1.5,2,0.75,431.9512
500,1.5,2,1,459.3479
500,1.5,2,1.25,424.445
500,1.5,2,1.5,391.7756
500,1.5,2,2,426.5549
500,1.5,2,2.5,403.4711
500,1.5,2,3,432.1675
500,1.5,2,3.5,408.6875
500,1.5,2,4,426.3699
500,1.5,2,4.5,386.9937
500,1.5,2,5,386.2057
500,1.5,2.5,0.25,398.4407
500,1.5,2.5,0.5,408.0066
500,1.5,2.5,0.75,377.9083
500,1.5,2.5,1,413.2072
500,1.5,2.5,1.25,423.2732
500,1.5,2.5,1.5,426.6304
500,1.5,2.5,2,447.8593
500,1.5,2.5,2.5,448.73
500,1.5,2.5,3,425.6783
500,1.5,2.5,3.5,402.7434
500,1.5,2.5,4,381.8062
500,1.5,2.5,4.5,376.4104
500,1.5,2.5,5,397.3363
500,1.5,3,0.25,425.1081
500,1.5,3,0.5,410.7177
500,1.5,3,0.75,382.7531
500,1.5,3,1,382.3562
500,1.5,3,1.25,422.4549
500,1.5,3,1.5,432.3596
500,1.5,3,2,428.619
500,1.5,3,2.5,413.1066
500,1.5,3,3,411.7061
500,1.5,3,3.5,393.3538
500,1.5,3,4,403.1612
500,1.5,3,4.5,417.6375
500,1.5,3,5,431.4028
500,1.5,3.5,0.25,405.5257
500,1.5,3.5,0.5,408.7876
500,1.5,3.5,0.75,426.8038
500,1.5,3.5,1,385.9035
500,1.5,3.5,1.25,406.2669
500,1.5,3.5,1.5,413.8676
500,1.5,3.5,2,431.4762
500,1.5,3.5,2.5,420.235
500,1.5,3.5,3,384.1652
500,1.5,3.5,3.5,427.9775
500,1.5,3.5,4,395.3529
500,1.5,3.5,4.5,407.3468
500,1.5,3.5,5,397.0138
500,1.5,4,0.25,425.312
500,1.5,4,0.5,470.4921
500,1.5,4,0.75,381.0455
500,1.5,4,1,432.0593
500,1.5,4,1.25,442.6458
500,1.5,4,1.5,452.9781
500,1.5,4,2,445.9232
500,1.5,4,2.5,435.4605
500,1.5,4,3,431.9231
500,1.5,4,3.5,420.1693
500,1.5,4,4,446.0181
500,1.5,4,4.5,436.3297
500,1.5,4,5,436.0482
500,1.5,4.5,0.25,451.8767
500,1.5,4.5,0.5,454.0854
500,1.5,4.5,0.75,435.4497
500,1.5,4.5,1,423.6972
500,1.5,4.5,1.25,402.9616
500,1.5,4.5,1.5,400.0649
500,1.5,4.5,2,502.4476
500,1.5,4.5,2.5,512.5951
500,1.5,4.5,3,510.216
500,1.5,4.5,3.5,513.2152
500,1.5,4.5,4,559.3911
500,1.5,4.5,4.5,518.3607
500,1.5,4.5,5,618.4066
500,1.5,5,0.25,516.2623
500,1.5,5,0.5,478.3742
500,1.5,5,0.75,474.2232
500,1.5,5,1,475.6539
500,1.5,5,1.25,476.1158
500,1.5,5,1.5,465.3689
500,1.5,5,2,505.6916
500,1.5,5,2.5,538.5886
500,1.5,5,3,512.1461
500,1.5,5,3.5,511.1021
500,1.5,5,4,515.8442
500,1.5,5,4.5,509.9156
500,1.5,5,5,499.4757
500,2,0.25,0.25,0
500,2,0.25,0.5,514.6476
500,2,0.25,0.75,497.1067
500,2,0.25,1,509.2599
500,2,0.25,1.25,482.6833
500,2,0.25,1.5,456.1509
500,2,0.25,2,440.8997
500,2,0.25,2.5,435.1551
500,2,0.25,3,427.5899
500,2,0.25,3.5,428.7398
500,2,0.25,4,442.1773
500,2,0.25,4.5,435.9571
500,2,0.25,5,430.54
500,2,0.5,0.25,439.6876
500,2,0.5,0.5,449.2961
500,2,0.5,0.75,493.7919
500,2,0.5,1,536.1687
500,2,0.5,1.25,481.3216
500,2,0.5,1.5,520.8148
500,2,0.5,2,489.7202
500,2,0.5,2.5,519.2719
500,2,0.5,3,501.9859
500,2,0.5,3.5,528.6953
500,2,0.5,4,564.9191
500,2,0.5,4.5,554.8113
500,2,0.5,5,527.865
500,2,0.75,0.25,535.4511
500,2,0.75,0.5,508.7973
500,2,0.75,0.75,527.7731
500,2,0.75,1,548.6728
500,2,0.75,1.25,527.0932
500,2,0.75,1.5,543.8524
500,2,0.75,2,538.5865
500,2,0.75,2.5,538.8882
500,2,0.75,3,463.234
500,2,0.75,3.5,475.8864
500,2,0.75,4,550.3186
500,2,0.75,4.5,460.0096
500,2,0.75,5,460.0096
500,2,1,0.25,467.3612
500,2,1,0.5,450.9906
500,2,1,0.75,466.263
500,2,1,1,482.451
500,2,1,1.25,464.189
500,2,1,1.5,549.1792
500,2,1,2,453.3094
500,2,1,2.5,592.5193
500,2,1,3,459.7314
500,2,1,3.5,561.0905
500,2,1,4,482.7224
500,2,1,4.5,463.9024
500,2,1,5,446.4341
500,2,1.25,0.25,454.2804
500,2,1.25,0.5,482.8776
500,2,1.25,0.75,431.4847
500,2,1.25,1,439.0125
500,2,1.25,1.25,435.2557
500,2,1.25,1.5,454.6729
500,2,1.25,2,448.12
500,2,1.25,2.5,463.6432
500,2,1.25,3,447.8781
500,2,1.25,3.5,458.6041
500,2,1.25,4,450.5036
500,2,1.25,4.5,449.0795
500,2,1.25,5,432.1942
500,2,1.5,0.25,449.4393
500,2,1.5,0.5,448.0926
500,2,1.5,0.75,446.7771
500,2,1.5,1,447.2407
500,2,1.5,1.25,446.4215
500,2,1.5,1.5,452.1323
500,2,1.5,2,443.8247
500,2,1.5,2.5,456.7918
500,2,1.5,3,451.0003
500,2,1.5,3.5,461.839
500,2,1.5,4,451.4913
500,2,1.5,4.5,469.8361
500,2,1.5,5,454.0286
500,2,2,0.25,454.5082
500,2,2,0.5,482.64
500,2,2,0.75,445.6019
500,2,2,1,434.9303
500,2,2,1.25,453.7383
500,2,2,1.5,436.1967
500,2,2,2,411.9645
500,2,2,2.5,463.0703
500,2,2,3,452.3704
500,2,2,3.5,447.0068
500,2,2,4,461.4845
500,2,2,4.5,435.2778
500,2,2,5,456.9034
500,2,2.5,0.25,451.8812
500,2,2.5,0.5,463.6989
500,2,2.5,0.75,459.5266
500,2,2.5,1,450.9875
500,2,2.5,1.25,429.3611
500,2,2.5,1.5,464.7537
500,2,2.5,2,464.7855
500,2,2.5,2.5,437.5633
500,2,2.5,3,452.1978
500,2,2.5,3.5,463.6146
500,2,2.5,4,448.8419
500,2,2.5,4.5,452.9152
500,2,2.5,5,464.8983
500,2,3,0.25,457.7432
500,2,3,0.5,447.2335
500,2,3,0.75,459.364
500,2,3,1,460.2199
500,2,3,1.25,447.4788
500,2,3,1.5,453.5462
500,2,3,2,461.1602
500,2,3,2.5,450.6948
500,2,3,3,435.6751
500,2,3,3.5,443.5324
500,2,3,4,462.179
500,2,3,4.5,452.9675
500,2,3,5,456.3389
500,2,3.5,0.25,421.3942
500,2,3.5,0.5,488.8552
500,2,3.5,0.75,467.6835
500,2,3.5,1,470.7846
500,2,3.5,1.25,490.1645
500,2,3.5,1.5,481.6365
500,2,3.5,2,460.9098
500,2,3.5,2.5,472.4731
500,2,3.5,3,472.0488
500,2,3.5,3.5,436.4273
500,2,3.5,4,488.9613
500,2,3.5,4.5,438.3418
500,2,3.5,5,460.005
500,2,4,0.25,438.147
500,2,4,0.5,455.0995
500,2,4,0.75,461.8062
500,2,4,1,468.1076
500,2,4,1.25,468.0106
500,2,4,1.5,462.0051
500,2,4,2,462.424
500,2,4,2.5,454.558
500,2,4,3,453.2682
500,2,4,3.5,454.0766
500,2,4,4,455.5112
500,2,4,4.5,449.3594
500,2,4,5,435.2357
500,2,4.5,0.25,450.128
500,2,4.5,0.5,461.6125
500,2,4.5,0.75,458.7926
500,2,4.5,1,462.318
500,2,4.5,1.25,447.4888
500,2,4.5,1.5,465.7308
500,2,4.5,2,627.7238
500,2,4.5,2.5,528.0277
500,2,4.5,3,465.1229
500,2,4.5,3.5,449.7975
500,2,4.5,4,487.9518
500,2,4.5,4.5,440.9199
500,2,4.5,5,446.0481
500,2,5,0.25,436.2444
500,2,5,0.5,448.2829
500,2,5,0.75,456.6614
500,2,5,1,445.9925
500,2,5,1.25,440.0121
500,2,5,1.5,463.6314
500,2,5,2,462.938
500,2,5,2.5,474.4868
500,2,5,3,460.0917
500,2,5,3.5,416.6311
500,2,5,4,460.0027
500,2,5,4.5,516.952
500,2,5,5,452.0056
