Particle_Type_Code,Mixing_rate_rpm,Chitosan_TPP_Ratio_v_v,Chitosan_Concentration_mg_ml,TPP_Concentration_mg_ml,Particle_Diameter_nm
1,250,1.5,0.25,0.25,465.8776
1,250,1.5,0.25,0.5,511.9864
1,250,1.5,0.25,1,514.005
1,250,1.5,0.25,1.25,455.9382
1,250,1.5,0.25,2,482.2905
1,250,1.5,0.25,2.5,541.4143
1,250,1.5,0.25,3,490.1887
1,250,1.5,0.25,3.5,531.4709
1,250,1.5,0.25,4,449.4858
1,250,1.5,0.25,5,454.6764
1,250,1.5,0.25,0.75,517.142
1,250,1.5,0.5,0.25,512.6078
1,250,1.5,0.5,0.5,427.3397
1,250,1.5,0.5,0.75,457.4509
1,250,1.5,0.5,1,482.9453
1,250,1.5,0.5,1.5,454.0678
1,250,1.5,0.5,2,493.0745
1,250,1.5,0.5,3.5,490.8668
1,250,1.5,0.5,4,508.1655
1,250,1.5,0.5,4.5,594.1737
1,250,1.5,0.75,0.25,492.485
1,250,1.5,0.75,0.5,641.0112
1,250,1.5,0.75,0.75,502.6796
1,250,1.5,0.75,1,495.5587
1,250,1.5,0.75,2,534.9981
1,250,1.5,0.75,2.5,470.2394
1,250,1.5,0.75,3,484.786
1,250,1.5,0.75,3.5,619.6193
1,250,1.5,0.75,4,442.1088
1,250,1.5,0.75,4.5,484.8413
1,250,1.5,0.75,5,487.395
1,250,1.5,1,0.25,500.3393
1,250,1.5,1,0.5,608.4317
1,250,1.5,1,0.75,468.3143
1,250,1.5,1,1.25,533.1934
1,250,1.5,1,1.5,487.5921
1,250,1.5,1,2.5,492.1481
1,250,1.5,1,3.5,478.5891
1,250,1.5,1,4,472.1529
1,250,1.5,1,5,510.1773
1,250,1,1.5,0.25,528.3867
1,250,2,1,1,526.5358
1,250,2,2.5,0.5,506.4315
1,500,2,0.25,0.25,647.7425
1,500,1.5,0.25,0.25,588.1474
1,500,1.5,0.25,0.5,594.8303
1,500,1.5,0.25,0.75,599.117
1,500,1.5,0.25,1,596.9388
1,500,1.5,0.25,1.25,607.9808
1,500,1.5,0.25,1.5,601.5576
1,500,1.5,0.25,2,579.4551
1,500,1.5,0.25,2.5,612.6943
1,500,1.5,0.25,3,588.7582
1,500,1.5,0.25,3.5,587.9739
1,500,1.5,0.25,4,579.253
1,500,1.5,0.25,4.5,582.1327
1,500,1.5,0.5,0.25,651.5528
1,500,1.5,0.5,0.5,607.5628
1,500,1.5,0.5,0.75,640.9233
1,500,1.5,0.5,1,623.1681
1,500,1.5,0.5,1.25,610.1126
1,500,1.5,0.5,2,607.1735
1,500,1.5,0.5,3,600.7028
1,500,1.5,0.5,3.5,603.4766
1,500,1.5,0.5,4,594.867
1,500,1.5,0.5,4.5,605.6449
1,500,1.5,0.5,5,572.2162
1,500,1.5,0.75,0.25,697.9443
1,500,1.5,0.75,0.5,591.3738
1,500,1.5,0.75,0.75,584.4912
1,500,1.5,0.75,1,583.0796
1,500,1.5,0.75,1.25,577.3817
1,500,1.5,0.75,2,583.7645
1,500,1.5,0.75,2.5,575.1604
1,500,1.5,0.75,3.5,553.2687
1,500,1.5,0.75,4,608.9508
1,500,1.5,0.75,4.5,581.471
1,500,1.5,0.75,5,552.7175
1,500,1.5,1,0.25,583.7738
1,500,1.5,1,0.5,715.1129
1,500,1.5,1,0.75,616.6498
1,500,1.5,1,1,612.7607
1,500,1.5,1,1.5,624.0728
1,500,1.5,1,2,784.917
1,500,1.5,1,2.5,615.7925
1,500,1.5,1,3,633.4636
1,500,1.5,1,3.5,604.5038
1,500,1.5,1,4,562.5384
1,500,1.5,1,4.5,641.1632
1,500,1.5,1,5,608.2476
1,500,1.5,1.25,0.25,527.7788
1,500,1.5,1.25,1.5,584.2413
1,500,1.5,1.5,0.25,590.2953
1,500,1.5,2,1.5,596.7241
1,500,1.5,2,4.5,564.1721
1,500,1.5,2,5,613.2318
1,500,1.5,2.5,0.25,698.7009
1,500,1.5,2.5,0.75,599.2316
1,500,1.5,2.5,4,585.5054
1,500,1.5,2.5,4.5,582.463
1,500,1.5,2.5,5,565.4632
1,500,1.5,3,0.75,606.5913
1,500,1.5,3,1,546.5014
1,500,1.5,3,3.5,571.6494
1,500,1.5,3.5,1,604.5086
1,500,1.5,3.5,3,611.0133
1,500,1.5,3.5,4,630.6159
1,500,1.5,3.5,5,751.7468
1,500,1.5,4,0.75,569.2601
1,500,1.5,4.5,1.5,600.2451
1,750,1,0.25,0.25,673.3683
1,750,1,0.25,0.5,691.6549
1,750,1,0.25,0.75,637.7152
1,750,1,0.25,1,660.9224
1,750,1,0.25,1.25,672.9142
1,750,1,0.25,1.5,646.6116
1,750,1,0.25,2,691.3456
1,750,1,0.25,2.5,672.8859
1,750,1,0.25,3,655.9974
1,750,1,0.25,3.5,675.6498
1,750,1,0.25,4,674.7711
1,750,1,0.25,4.5,653.2562
1,750,1,0.25,5,663.3117
1,750,1,0.5,0.25,633.5456
1,750,1,0.5,0.5,742.6152
1,750,1,0.5,0.75,647.1168
1,750,1,0.5,1,656.4604
1,750,1,0.5,1.25,654.5659
1,750,1,0.5,1.5,623.2229
1,750,1,0.5,2,689.0514
1,750,1,0.5,2.5,717.4743
1,750,1,0.5,3,660.2039
1,750,1,0.5,3.5,639.959
1,750,1,0.5,4,644.8603
1,750,1,0.5,4.5,649.2255
1,750,1,0.5,5,650.1691
1,750,1,0.75,0.25,632.8059
1,750,1,0.75,0.5,634.512
1,750,1,0.75,0.75,673.2337
1,750,1,0.75,1,639.7098
1,750,1,0.75,1.25,622.6948
1,750,1,0.75,1.5,627.7486
1,750,1,0.75,2,632.1257
1,750,1,0.75,2.5,635.1261
1,750,1,0.75,3,686.3247
1,750,1,0.75,3.5,756.3518
1,750,1,0.75,4,648.6605
1,750,1,0.75,4.5,798.4032
1,750,1,0.75,5,627.1367
1,750,1,1,0.25,638.3086
1,750,1,1,0.5,670.3881
1,750,1,1,0.75,734.6227
1,750,1,1,1,641.9584
1,750,1,1,1.25,628.1025
1,750,1,1,1.5,708.6779
1,750,1,1,2,1018.878
1,750,1,1,2.5,628.5768
1,750,1,1,3,681.8713
1,750,1,1,3.5,669.3524
1,750,1,1,4,630.1708
1,750,1,1,4.5,637.8134
1,750,1,1,5,650.5883
1,750,1,1.25,0.25,1137.263
1,750,1,1.25,0.5,1095.963
1,750,1,1.25,0.75,916.4135
1,750,1,1.25,1,849.5306
1,750,1,1.25,1.25,713.5792
1,750,1,1.25,1.5,669.7996
1,750,1,1.25,2,602.0655
1,750,1,1.25,2.5,670.9604
1,750,1,1.25,3,701.4699
1,750,1,1.25,3.5,681.1113
1,750,1,1.25,4,621.0949
1,750,1,1.25,4.5,643.1199
1,750,1,1.25,5,639.1918
1,750,1,1.5,0.25,658.4007
1,750,1,1.5,0.5,669.5444
1,750,1,1.5,0.75,623.2249
1,750,1,1.5,1,694.1076
1,750,1,1.5,1.25,679.2576
1,750,1,1.5,1.5,701.8077
1,750,1,1.5,2,631.1938
1,750,1,1.5,2.5,698.2861
1,750,1,1.5,3,657.5077
1,750,1,1.5,3.5,687.5417
1,750,1,1.5,4,655.2583
1,750,1,1.5,4.5,657.3452
1,750,1,1.5,5,670.1132
1,750,1,2,0.25,656.4912
1,750,1,2,0.5,655.5702
1,750,1,2,0.75,605.9435
1,750,1,2,1,612.2258
1,750,1,2,1.25,770.7549
1,750,1,2,1.5,645.642
1,750,1,2,2,648.093
1,750,1,2,2.5,675.1885
1,750,1,2,3,668.1128
1,750,1,2,3.5,673.5869
1,750,1,2,4,628.3611
1,750,1,2,4.5,622.7945
1,750,1,2,5,645.6064
1,750,1,5,4,628.4261
0,250,1,0.25,0.25,452.478
0,250,1,0.25,0.5,461.2884
0,250,1,0.25,0.75,489.4832
0,250,1,0.25,1,468.3188
0,250,1,0.25,1.25,494.8308
0,250,1,0.25,1.5,453.3569
0,250,1,0.25,2,457.0593
0,250,1,0.25,2.5,449.8473
0,250,1,0.25,3,453.1743
0,250,1,0.25,3.5,468.257
0,250,1,0.25,4,468.1273
0,250,1,0.25,4.5,459.5141
0,250,1,0.25,5,493.1442
0,250,1,0.5,0.25,470.4768
0,250,1,0.5,0.5,469.2549
0,250,1,0.5,0.75,456.715
0,250,1,0.5,1,486.2563
0,250,1,0.5,1.25,466.7377
0,250,1,0.5,1.5,458.9104
0,250,1,0.5,2,453.2404
0,250,1,0.5,2.5,459.2384
0,250,1,0.5,3,462.7523
0,250,1,0.5,3.5,454.6717
0,250,1,0.5,4,446.7278
0,250,1,0.5,4.5,483.6938
0,250,1,0.5,5,456.58
0,250,1,0.75,0.25,443.7814
0,250,1,0.75,0.5,461.1516
0,250,1,0.75,0.75,459.1347
0,250,1,0.75,1,466.7492
0,250,1,0.75,1.25,499.8273
0,250,1,0.75,1.5,444.8529
0,250,1,0.75,2,503.3932
0,250,1,0.75,2.5,515.8766
0,250,1,0.75,3,451.5217
0,250,1,0.75,3.5,437.8163
0,250,1,0.75,4,461.3658
0,250,1,0.75,4.5,433.9157
0,250,1,0.75,5,490.7128
0,250,1,1,0.25,519.526
0,250,1,1,0.5,464.5703
0,250,1,1,0.75,469.8071
0,250,1,1,1,621.5821
0,250,1,1,1.25,462.4369
0,250,1,1,1.5,459.0939
0,250,1,1,2,511.2889
0,250,1,1,2.5,497.1192
0,250,1,1,3,495.9865
0,250,1,1,3.5,468.0898
0,250,1,1,4,451.8
0,250,1,1,4.5,471.2396
0,250,1,1,5,470.9449
0,250,1,1.25,0.25,488.0413
0,250,1,1.25,0.5,467.8408
0,250,1,1.25,0.75,512.1375
0,250,1,1.25,1,481.095
0,250,1,1.25,1.25,479.4767
0,250,1,1.25,1.5,483.7734
0,250,1,1.25,2,496.8173
0,250,1,1.25,2.5,463.7623
0,250,1,1.25,3,455.6595
0,250,1,1.25,3.5,472.7082
0,250,1,1.25,4,465.8645
0,250,1,1.25,4.5,469.0844
0,250,1,1.25,5,455.3415
0,250,1,1.5,0.25,0
0,250,1,1.5,0.5,459.6994
0,250,1,1.5,0.75,455.6716
0,250,1,1.5,1,481.8583
0,250,1,1.5,1.25,514.5841
0,250,1,1.5,1.5,486.4597
0,250,1,1.5,2,458.7443
0,250,1,1.5,2.5,473.0162
0,250,1,1.5,3,460.3645
0,250,1,1.5,3.5,481.9458
0,250,1,1.5,4,464.8285
0,250,1,1.5,4.5,471.6226
0,250,1,1.5,5,484.5448
0,250,1,2,0.25,448.7321
0,250,1,2,0.5,463.3237
0,250,1,2,0.75,542.267
0,250,1,2,1,506.1662
0,250,1,2,1.25,520.942
0,250,1,2,1.5,558.6803
0,250,1,2,2,502.7381
0,250,1,2,2.5,507.2696
0,250,1,2,3,534.0533
0,250,1,2,3.5,564.6151
0,250,1,2,4,484.6243
0,250,1,2,4.5,467.8026
0,250,1,2,5,501.8981
0,250,1,2.5,0.25,495.8298
0,250,1,2.5,0.5,527.3778
0,250,1,2.5,0.75,483.4157
0,250,1,2.5,1,469.2163
0,250,1,2.5,1.25,500.3255
0,250,1,2.5,1.5,518.2091
0,250,1,2.5,2,483.9848
0,250,1,2.5,2.5,533.5561
0,250,1,2.5,3,510.4097
0,250,1,2.5,3.5,540.6641
0,250,1,2.5,4,530.9502
0,250,1,2.5,4.5,481.9803
0,250,1,2.5,5,479.8248
0,250,1,3,0.25,523.9824
0,250,1,3,0.5,483.7849
0,250,1,3,0.75,614.9744
0,250,1,3,1,493.447
0,250,1,3,1.25,516.3165
0,250,1,3,1.5,495.3059
0,250,1,3,2,501.7903
0,250,1,3,2.5,531.1473
0,250,1,3,3,503.3106
0,250,1,3,3.5,596.8207
0,250,1,3,4,518.6318
0,250,1,3,4.5,542.0554
0,250,1,3,5,509.2883
0,250,1,3.5,0.25,519.075
0,250,1,3.5,0.5,513.5872
0,250,1,3.5,0.75,510.0383
0,250,1,3.5,1,543.0138
0,250,1,3.5,1.25,527.7557
0,250,1,3.5,1.5,511.0132
0,250,1,3.5,2,539.5625
0,250,1,3.5,2.5,503.7152
0,250,1,3.5,3,537.3037
0,250,1,3.5,3.5,531.2138
0,250,1,3.5,4,559.0811
0,250,1,3.5,4.5,528.4585
0,250,1,3.5,5,540.4882
0,250,1,4,0.25,536.3161
0,250,1,4,0.5,562.0536
0,250,1,4,0.75,551.0793
0,250,1,4,1,534.3861
0,250,1,4,1.25,637.0602
0,250,1,4,1.5,684.3411
0,250,1,4,2,660.1377
0,250,1,4,2.5,597.8803
0,250,1,4,3,627.358
0,250,1,4,3.5,593.183
0,250,1,4,4,559.8617
0,250,1,4,4.5,538.8374
0,250,1,4,5,560.0967
0,250,1,4.5,0.25,539.0846
0,250,1,4.5,0.5,513.3203
0,250,1,4.5,0.75,532.2966
0,250,1,4.5,1,559.0973
0,250,1,4.5,1.25,524.754
0,250,1,4.5,1.5,487.6888
0,250,1,4.5,2,525.9824
0,250,1,4.5,2.5,540.7451
0,250,1,4.5,3,469.8131
0,250,1,4.5,3.5,507.8837
0,250,1,4.5,4,547.3441
0,250,1,4.5,4.5,539.7794
0,250,1,4.5,5,501.9689
0,250,1,5,0.25,535.2134
0,250,1,5,0.5,524.9825
0,250,1,5,0.75,474.3312
0,250,1,5,1,484.1809
0,250,1,5,1.25,535.7237
0,250,1,5,1.5,531.2087
0,250,1,5,2,629.4175
0,250,1,5,2.5,626.0146
0,250,1,5,3,630.7209
0,250,1,5,3.5,555.1675
0,250,1,5,4,594.7618
0,250,1,5,4.5,644.7417
0,250,1,5,5,674.6076
0,250,1.5,0.25,0.25,393.593
0,250,1.5,0.25,0.5,393.4545
0,250,1.5,0.25,0.75,400.0827
0,250,1.5,0.25,1,390.3822
0,250,1.5,0.25,1.25,382.5232
0,250,1.5,0.25,1.5,405.3301
0,250,1.5,0.25,2,391.6472
0,250,1.5,0.25,2.5,381.8213
0,250,1.5,0.25,3,395.3589
0,250,1.5,0.25,3.5,379.2407
0,250,1.5,0.25,4,396.3946
0,250,1.5,0.25,4.5,419.8226
0,250,1.5,0.25,5,396.2532
0,250,1.5,0.5,0.25,399.2463
0,250,1.5,0.5,0.5,390.5271
0,250,1.5,0.5,0.75,395.1463
0,250,1.5,0.5,1,399.741
0,250,1.5,0.5,1.25,401.4978
0,250,1.5,0.5,1.5,400.2119
0,250,1.5,0.5,2,399.2329
0,250,1.5,0.5,2.5,404.6243
0,250,1.5,0.5,3,401.0746
0,250,1.5,0.5,3.5,395.4855
0,250,1.5,0.5,4,381.5698
0,250,1.5,0.5,4.5,375.0612
0,250,1.5,0.5,5,408.1486
0,250,1.5,0.75,0.25,395.9099
0,250,1.5,0.75,0.5,386.2645
0,250,1.5,0.75,0.75,395.6645
0,250,1.5,0.75,1,378.9425
0,250,1.5,0.75,1.25,463.3936
0,250,1.5,0.75,1.5,413.7807
0,250,1.5,0.75,2,395.1402
0,250,1.5,0.75,2.5,391.3118
0,250,1.5,0.75,3,378.6065
0,250,1.5,0.75,3.5,379.2589
0,250,1.5,0.75,4,390.011
0,250,1.5,0.75,4.5,380.8931
0,250,1.5,0.75,5,322.394
0,250,1.5,1,0.25,396.1628
0,250,1.5,1,0.5,392.2311
0,250,1.5,1,0.75,374.2313
0,250,1.5,1,1,410.015
0,250,1.5,1,1.25,393.1667
0,250,1.5,1,1.5,383.8877
0,250,1.5,1,2,400.9984
0,250,1.5,1,2.5,385.0974
0,250,1.5,1,3,405.3235
0,250,1.5,1,3.5,397.983
0,250,1.5,1,4,392.0796
0,250,1.5,1,4.5,403.5469
0,250,1.5,1,5,397.75
0,250,1.5,1.25,0.25,489.2367
0,250,1.5,1.25,0.5,483.7134
0,250,1.5,1.25,0.75,445.2276
0,250,1.5,1.25,1,548.6706
0,250,1.5,1.25,1.25,443.7112
0,250,1.5,1.25,1.5,457.7805
0,250,1.5,1.25,2,458.0644
0,250,1.5,1.25,2.5,445.0451
0,250,1.5,1.25,3,490.311
0,250,1.5,1.25,3.5,463.1329
0,250,1.5,1.25,4,450.2039
0,250,1.5,1.25,4.5,452.4442
0,250,1.5,1.25,5,467.3529
0,250,1.5,1.5,0.25,450.5956
0,250,1.5,1.5,0.5,480.5032
0,250,1.5,1.5,0.75,444.817
0,250,1.5,1.5,1,466.2324
0,250,1.5,1.5,1.25,452.3404
0,250,1.5,1.5,1.5,463.6254
0,250,1.5,1.5,2,414.9216
0,250,1.5,1.5,2.5,449.9684
0,250,1.5,1.5,3,446.5714
0,250,1.5,1.5,3.5,458.6765
0,250,1.5,1.5,4,430.1789
0,250,1.5,1.5,4.5,456.5726
0,250,1.5,1.5,5,491.6157
0,250,1.5,2,0.25,461.9104
0,250,1.5,2,0.5,531.1324
0,250,1.5,2,0.75,464.3897
0,250,1.5,2,1,501.9095
0,250,1.5,2,1.25,442.4918
0,250,1.5,2,1.5,464.9698
0,250,1.5,2,2,459.8706
0,250,1.5,2,2.5,454.2026
0,250,1.5,2,3,637.8114
0,250,1.5,2,3.5,456.6834
0,250,1.5,2,4,570.5422
0,250,1.5,2,4.5,486.1616
0,250,1.5,2,5,453.8591
0,250,1.5,2.5,0.25,514.7486
0,250,1.5,2.5,0.5,486.2044
0,250,1.5,2.5,0.75,501.1576
0,250,1.5,2.5,1,508.2755
0,250,1.5,2.5,1.25,498.0864
0,250,1.5,2.5,1.5,459.6009
0,250,1.5,2.5,2,547.2942
0,250,1.5,2.5,2.5,505.5492
0,250,1.5,2.5,3,525.5889
0,250,1.5,2.5,3.5,485.1843
0,250,1.5,2.5,4,488.603
0,250,1.5,2.5,4.5,479.9724
0,250,1.5,2.5,5,500.8628
0,250,1.5,3,0.25,566.1957
0,250,1.5,3,0.5,488.499
0,250,1.5,3,0.75,498.4622
0,250,1.5,3,1,477.0345
0,250,1.5,3,1.25,586.7896
0,250,1.5,3,1.5,475.8036
0,250,1.5,3,2,444.4798
0,250,1.5,3,2.5,508.2191
0,250,1.5,3,3,586.1656
0,250,1.5,3,3.5,507.1371
0,250,1.5,3,4,477.2676
0,250,1.5,3,4.5,461.4499
0,250,1.5,3,5,495.855
0,250,1.5,3.5,0.25,590.6765
0,250,1.5,3.5,0.5,632.4991
0,250,1.5,3.5,0.75,596.7928
0,250,1.5,3.5,1,626.9663
0,250,1.5,3.5,1.25,582.9169
0,250,1.5,3.5,1.5,571.9707
0,250,1.5,3.5,2,654.8449
0,250,1.5,3.5,2.5,604.7684
0,250,1.5,3.5,3,529.9156
0,250,1.5,3.5,3.5,709.7942
0,250,1.5,3.5,4,557.6508
0,250,1.5,3.5,4.5,553.1044
0,250,1.5,3.5,5,637.7036
0,250,1.5,4,0.25,602.9868
0,250,1.5,4,0.5,594.576
0,250,1.5,4,0.75,587.6709
0,250,1.5,4,1,540.4071
0,250,1.5,4,1.25,575.7526
0,250,1.5,4,1.5,570.0397
0,250,1.5,4,2,540.0332
0,250,1.5,4,2.5,588.8296
0,250,1.5,4,3,581.4895
0,250,1.5,4,3.5,587.6658
0,250,1.5,4,4,561.5006
0,250,1.5,4,4.5,577.459
0,250,1.5,4,5,583.7847
0,250,1.5,4.5,0.25,644.5527
0,250,1.5,4.5,0.5,580.6768
0,250,1.5,4.5,0.75,636.5678
0,250,1.5,4.5,1,599.986
0,250,1.5,4.5,1.25,628.1649
0,250,1.5,4.5,1.5,569.979
0,250,1.5,4.5,2,622.3981
0,250,1.5,4.5,2.5,593.8148
0,250,1.5,4.5,3,627.3384
0,250,1.5,4.5,3.5,634.8302
0,250,1.5,4.5,4,612.4819
0,250,1.5,4.5,4.5,616.1861
0,250,1.5,4.5,5,568.3809
0,250,1.5,5,0.25,643.8008
0,250,1.5,5,0.5,664.5541
0,250,1.5,5,0.75,577.6729
0,250,1.5,5,1,632.6017
0,250,1.5,5,1.25,601.4896
0,250,1.5,5,1.5,610.306
0,250,1.5,5,2,614.6491
0,250,1.5,5,2.5,592.6787
0,250,1.5,5,3,596.9984
0,250,1.5,5,3.5,672.6801
0,250,1.5,5,4,639.2547
0,250,1.5,5,4.5,608.2848
0,250,1.5,5,5,608.7167
0,250,2,0.25,0.25,471.6576
0,250,2,0.25,0.5,577.4823
0,250,2,0.25,0.75,462.3911
0,250,2,0.25,1,484.5795
0,250,2,0.25,1.25,500.0991
0,250,2,0.25,1.5,495.3225
0,250,2,0.25,2,458.8872
0,250,2,0.25,2.5,459.721
0,250,2,0.25,3,447.6768
0,250,2,0.25,3.5,457.4033
0,250,2,0.25,4,467.2585
0,250,2,0.25,4.5,455.9575
0,250,2,0.25,5,452.0154
0,250,2,0.5,0.25,459.1389
0,250,2,0.5,0.5,456.8316
0,250,2,0.5,0.75,436.6656
0,250,2,0.5,1,475.394
0,250,2,0.5,1.25,449.2543
0,250,2,0.5,1.5,464.528
0,250,2,0.5,2,450.689
0,250,2,0.5,2.5,475.1524
